"news_id","source","title","content_text","published_at","url","topic_tags","extracted_at","is_fraud_related"
"6634","161.ру - новости Ростова-на-Дону","Овощи в главных ролях: 8 идей для вкусного ужина без мяса","Собрали сбалансированные хиты — от легкого салата до сытных запеканок и ароматных индийских блюд","2026-04-23T07:00:18Z","https://161.ru/text/food/2026/04/23/76381177/","еда","2026-04-23T07:02:34Z",
"6635","161.ру - новости Ростова-на-Дону","Нас ждут массовые сокращения: кто под угрозой","Роструд представил печальный прогноз","2026-04-23T06:40:00Z","https://161.ru/text/job/2026/04/23/76381728/","работа","2026-04-23T07:02:34Z",
"6636","161.ру - новости Ростова-на-Дону","«Я верю в ее проект»: откуда Лерчек взяла деньги на свой новый бизнес","Блогер не обошлась без помощи близких","2026-04-23T06:20:00Z","https://161.ru/text/relations/2026/04/23/76381687/","он и она","2026-04-23T07:02:34Z",
"6637","161.ру - новости Ростова-на-Дону","На ростовском заводе «Горизонт» погиб рабочий","Несчастный случай произошел в ночь на 21 апреля","2026-04-23T06:05:00Z","https://161.ru/text/incidents/2026/04/23/76380797/","происшествия","2026-04-23T07:02:34Z",
"6638","161.ру - новости Ростова-на-Дону","Подушка безопасности сдулась? Что происходит с российской экономикой и почему бизнес стал для нее обузой","Развитие стало почти невозможным, перспектив не видно, это признают власти","2026-04-23T06:00:00Z","https://161.ru/text/economics/2026/04/23/76380576/","экономика","2026-04-23T07:02:34Z",
"6639","161.ру - новости Ростова-на-Дону","У границ РФ репетируют захват Калининграда. Россия в ответ грозит ядерным оружием","Рассказываем о ситуации","2026-04-23T05:50:00Z","https://161.ru/text/world/2026/04/23/76381577/","страна и мир","2026-04-23T07:02:34Z",
"6640","161.ру - новости Ростова-на-Дону","Яд на подоконнике: список комнатных цветов, которые вредят здоровью питомца","В список входят десятки очень популярных растений","2026-04-23T05:30:03Z","https://161.ru/text/animals/2026/04/23/76381082/","животные","2026-04-23T07:02:34Z",
"6641","161.ру - новости Ростова-на-Дону","Выплат в апреле придет вдвое больше: соцфонд предупредил об изменении графика","Список тех, кто может рассчитывать на прибавку","2026-04-23T05:05:43Z","https://161.ru/text/economics/2026/04/23/76381539/","экономика","2026-04-23T07:02:34Z",
"6642","161.ру - новости Ростова-на-Дону","Дожди и ветра. Какой будет погода в Ростове в четверг, 23 апреля","Ждать ли тепла?","2026-04-23T05:03:00Z","https://161.ru/text/spring/2026/04/23/76380848/","весна","2026-04-23T07:02:34Z",
"6643","161.ру - новости Ростова-на-Дону","Проснулись — потянулись: утренняя зарядка за 7 минут без боли и силовых","Как за короткое время мягко разбудить мышцы, включить голову и не превратить начало дня в марафон","2026-04-23T05:00:24Z","https://161.ru/text/health/2026/04/23/76381139/","здоровье","2026-04-23T07:02:34Z",
"6644","161.ру - новости Ростова-на-Дону","Аномальная жара придет на майские праздники. Солнечный прогноз","Погода нас порадует","2026-04-23T04:52:00Z","https://161.ru/text/spring/2026/04/23/76381497/","весна","2026-04-23T07:02:34Z",
